source;relationship;target
'Robert E. Hecht';'purchases';'Harness or bridle fitting (?) in the form of a horse'
'Kenneth John Hewett';'sells';'Harness or bridle fitting (?) in the form of a horse'
'Metropolitan Museum of Art';'has_possession_of';'Harness or bridle fitting (?) in the form of a horse'
'Raymond and Beverly Sackler';'donates_to';'Metropolitan Museum of Art'
'Pablo Picasso';'has_role';'Artist'
'Man with a Lollipop';'comes_from';'Pablo Picasso'
'Metropolitan Museum of Art';'has_possession_of';'Man with a Lollipop'
'Jacques and Natasha Gelman Collection';'donates_to';'Metropolitan Museum of Art'
'Galerie Käte Perls';'works_with';'Perls Galleries'
'Spink & Son Ltd.';'sells';'Head of Avalokiteshvara, the Bodhisattva of Infinite Compassion'
'Spink & Son Ltd.';'makes_sale_to';'private collector'
'private collector';'donates_to';'Metropolitan Museum of Art'
'Head of Avalokiteshvara, the Bodhisattva of Infinite Compassion';'comes_from';'Cambodia'
'Douglas A. J. Latchford';'has_possession_of';'Face from a Male Deity, probably Shiva'
'Douglas A. J. Latchford';'donates_to';'Metropolitan Museum of Art'
'Klaus G. Perls';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Dora Maar in an Armchair'
'Dora Maar in an Armchair';'comes_from';'Pablo Picasso'
'Louis Carré';'has_possession_of';'Dora Maar in an Armchair'
'Pierre Colle';'has_possession_of';'Dora Maar in an Armchair'
'Klaus G. Perls';'is_the_owner_of';'The Mr. and Mrs. Klaus G. Perls Collection'
'The Mr. and Mrs. Klaus G. Perls Collection';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Candlestick and Playing Cards on a Table'
'Candlestick and Playing Cards on a Table';'comes_from';'Galerie Kahnweiler, Paris'
'Georges Braque';'has_role';'Artist'
'Mr. and Mrs. Klaus G. Perls';'donates_to';'Metropolitan Museum of Art'
'Bruce McAlpine';'has_possession_of';'Bronze rod tripod stand'
'Bronze rod tripod stand';'comes_from';'Greek'
'The Mr. and Mrs. Klaus G. Perls Collection';'donates_to';'Metropolitan Museum of Art'
'Chaim Soutine';'has_role';'Artist'
'View of Cagnes';'comes_from';'Chaim Soutine'
'View of Cagnes';'has_possession_of';'Metropolitan Museum of Art'
'François Reichenbach';'has_possession_of';'View of Cagnes'
'Still Life with Rayfish';'comes_from';'Chaim Soutine'
'Still Life with Rayfish';'has_possession_of';'Metropolitan Museum of Art'
'Leopold Zborowski';'has_possession_of';'Still Life with Rayfish'
'Mr. and Mrs. Oscar Ghez';'has_possession_of';'Still Life with Rayfish'
'Metropolitan Museum of Art';'has_possession_of';'The Bicyclist'
'Fernand Léger';'comes_from';'The Bicyclist'
'Woman Asleep at a Table';'comes_from';'Pablo Picasso'
'Metropolitan Museum of Art';'has_possession_of';'Woman Asleep at a Table'
'Metropolitan Museum of Art';'has_possession_of';'The Dreamer'
'The Dreamer';'comes_from';'Pablo Picasso'
'The Dreamer';'comes_from';'Paris'
'Harlequin';'comes_from';'Pablo Picasso'
'Metropolitan Museum of Art';'has_possession_of';'Harlequin'
'Jules Pascin';'has_role';'Artist'
'Pierre Mac Orlan';'has_role';'Sitter'
'Pierre Mac Orlan';'comes_from';'Saint-Cyr-sur-Morin, France'
'Metropolitan Museum of Art';'has_possession_of';'Reclining Nude'
'Leopold Zborowski';'has_possession_of';'Reclining Nude'
'Georges Menier';'has_possession_of';'Reclining Nude'
'Amedeo Modigliani';'has_role';'Artist'
'Klaus G. Perls';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Pipe Rack and Still Life on a Table'
'Pipe Rack and Still Life on a Table';'comes_from';'Galerie Georges Moos'
'Bronze plaque of Mithras slaying the bull';'comes_from';'Roman'
'Metropolitan Museum of Art';'has_possession_of';'Woman in an Armchair'
'Woman in an Armchair';'comes_from';'Paul Guillaume'
'Woman in an Armchair';'comes_from';'Pablo Picasso'
'Guitar and Clarinet on a Mantelpiece';'comes_from';'Pablo Picasso'
'Metropolitan Museum of Art';'has_possession_of';'Guitar and Clarinet on a Mantelpiece'
'Florene M. Schoenborn';'donates_to';'Metropolitan Museum of Art'
'Nina and Gordon Bunshaft';'purchases';'Vessel | Parthian | Parthian'
'Nina and Gordon Bunshaft';'buys_from';'C.T. Loo & Cie, Paris'
'Metropolitan Museum of Art';'has_possession_of';'Vessel | Parthian | Parthian'
'John J. Klejman';'has_possession_of';'Memorial Head'
'Nina and Gordon Bunshaft';'has_possession_of';'Memorial Head'
'Metropolitan Museum of Art';'has_possession_of';'Memorial Head'
'Memorial Head';'comes_from';'Akan peoples'
'Wrightsman Fund';'purchases';'Halt of the Hunt'
'Halt of the Hunt';'comes_from';'Basan, Maison des Ecuries de Mme la Princesse de Conti'
'Metropolitan Museum of Art';'has_possession_of';'Halt of the Hunt'
'John Feldman';'donates_to';'Metropolitan Museum of Art'
'Grisaille Panel';'comes_from';'choir of the Collegiate Church of Saint-Ursin in Bourges'
'Metropolitan Museum of Art';'has_possession_of';'Grisaille Panel'
'Standing Bodhisattva Maitreya, the Buddha of the Future';'comes_from';'Thailand (Buriram Province, Prakhon Chai)'
'Metropolitan Museum of Art';'has_possession_of';'Standing Bodhisattva Maitreya, the Buddha of the Future'
'Metropolitan Museum of Art';'purchases';'Standing Bodhisattva Maitreya, the Buddha of the Future'
'Metropolitan Museum of Art';'buys_from';'Viroj Kanasut'
'Viroj Kanasut';'has_possession_of';'Standing Bodhisattva Maitreya, the Buddha of the Future'
'Emily Genauer Gash';'donates_to';'Metropolitan Museum of Art'
'Perls Gallery';'has_possession_of';'Torso of a Man'
'Torso of a Man';'comes_from';'Perls Gallery'
'Rufino Tamayo';'has_role';'Artist'
'John J. Klejman';'has_possession_of';'Head of Krishna (?)'
'Metropolitan Museum of Art';'has_possession_of';'Head of Krishna (?)'
'Metropolitan Museum of Art';'purchases';'Head of Krishna (?)'
'Head of Krishna (?)';'comes_from';'Thailand (Phetchabun Province)'
'Metropolitan Museum of Art';'has_possession_of';'Antoine Dominique Sauveur Aubert (born 1817), painted by Paul Cézanne in 1866'
'Paul Cézanne';'has_role';'Artist'
'Antoine Dominique Sauveur Aubert';'has_role';'Sitter'
'The Walter H. and Leonore Annenberg Collection';'donates_to';'Metropolitan Museum of Art'
'Doris Wiener Gallery';'has_possession_of';'Ceremonial Object in the Shape of an Ax'
'Doris Wiener Gallery';'sells';'Ceremonial Object in the Shape of an Ax'
'Metropolitan Museum of Art';'purchases';'Ceremonial Object in the Shape of an Ax'
'Ceremonial Object in the Shape of an Ax';'comes_from';'Indonesia, possibly Sulawesi'
'Douglas A. J. Latchford';'sells';'Standing Four-Armed Vishnu'
'Douglas A. J. Latchford';'sells';'Metropolitan Museum of Art'
'Standing Four-Armed Vishnu';'comes_from';'Vietnam (Mekong Delta area)'
'Metropolitan Museum of Art';'has_possession_of';'Standing Four-Armed Vishnu'
'Limestone pediment fragment';'comes_from';'Greek, South Italian, Tarentine'
'Metropolitan Museum of Art';'purchases';'Limestone pediment fragment'
'Metropolitan Museum of Art';'buys_from';'Robert Hecht, Jr.'
'Robert Hecht, Jr.';'has_possession_of';'Limestone pediment fragment'
'Douglas A. J. Latchford';'has_possession_of';'Standing Buddha'
'Anonymous';'donates_to';'Metropolitan Museum of Art'
'Standing Buddha';'comes_from';'Thailand'
'Metropolitan Museum of Art';'purchases';'Pendant: female head'
'Pendant: female head';'comes_from';'Italic'
'Metropolitan Museum of Art';'has_possession_of';'Pendant: female head'
'Metropolitan Museum of Art';'purchases';'Pendant: hippocamp'
'Pendant: hippocamp';'comes_from';'Etrusco-Campanian'
'Renée E. and Robert A. Belfer, Patti Cadby Birch Foundation Inc., and Anonymous Donor';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Pendant: siren'
'Renée E. and Robert A. Belfer';'donates_to';'Metropolitan Museum of Art'
'Patti Cadby Birch';'donates_to';'Metropolitan Museum of Art'
'Italic';'has_role';'Artist'
'John J. Klejman';'has_possession_of';"Club ('U'u)"
'Michael D. and Sophie D. Coe';'has_possession_of';"Club ('U'u)"
'Michael D. and Sophie D. Coe';'donates_to';'Metropolitan Museum of Art'
"Club ('U'u)";'comes_from';'Marquesan (Enata) people'
'Metropolitan Museum of Art';'has_possession_of';'The Bodhisattva Avalokiteshvara Seated in Royal Ease'
'Metropolitan Museum of Art';'purchases';'The Bodhisattva Avalokiteshvara Seated in Royal Ease'
'Metropolitan Museum of Art';'buys_from';'Douglas A. J. Latchford'
'The Bodhisattva Avalokiteshvara Seated in Royal Ease';'comes_from';'Thailand or Cambodia'
'Michele Caplan';'donates_to';'Metropolitan Museum of Art'
'Standing Vishnu';'comes_from';'Thailand or Cambodia'
'Doris Wiener';'has_possession_of';'Lintel Decorated with Kala, Figures and Garlands'
'Lintel Decorated with Kala, Figures and Garlands';'comes_from';'Cambodia or Thailand'
'Mr. and Mrs. Jonathan P. Rosen';'donates_to';'Metropolitan Museum of Art'
'Terracotta kylix (cup)';'comes_from';'Foundry Painter'
'Mr. and Mrs. Klaus G. Perls';'has_possession_of';'Bell: Human Head | Lower Niger Bronze Industry'
'Mr. and Mrs. Klaus G. Perls';'donates_to';'Metropolitan Museum of Art'
'Bell: Human Head | Lower Niger Bronze Industry';'comes_from';'Lower Niger Bronze Industry'
'Maskette';'comes_from';'Yoruba or Sobo peoples, Isoko group'
'Metropolitan Museum of Art';'has_possession_of';'Maskette'
'Sotheby Parke-Bernet and Co.';'sells';'Bell: Horse Head | Lower Niger Bronze Industry'
'Bell: Horse Head | Lower Niger Bronze Industry';'comes_from';'Lower Niger Bronze Industry'
'Staff: Seated King (Ogun)';'comes_from';'Yoruba peoples'
'Metropolitan Museum of Art';'has_possession_of';'Staff: Seated King (Ogun)'
'Klaus G. Perls';'has_possession_of';'Staff: Equestrian Chief (Ogun) | Yoruba people'
'Staff: Equestrian Chief (Ogun) | Yoruba people';'comes_from';'Yoruba peoples'
'Klaus G. Perls';'has_role';'Donor'
'Hammock Pin';'comes_from';'Kongo peoples'
'Metropolitan Museum of Art';'has_possession_of';'Hammock Pin'
"Marie-Eliane d'Udekem d'Acoz";'works_with';'F. Rolin & Co.'
'Figure: Equestrian Chief';'comes_from';'Yoruba peoples'
'Metropolitan Museum of Art';'has_possession_of';'Figure: Equestrian Chief'
'Klaus G. Perls';'has_role';'Mr.'
'Klaus G. Perls';'has_role';'Mrs.'
'Mr. and Mrs. Klaus G. Perls';'has_possession_of';'Figure: Mother with Vessel and Child'
'Figure: Mother with Vessel and Child';'comes_from';'Yoruba peoples'
'Metropolitan Museum of Art';'has_possession_of';'Figure: Mother with Vessel and Child'
'Klaus G. Perls';'has_possession_of';'Esu Head (Ela or Irin Ifa)'
'Esu Head (Ela or Irin Ifa)';'comes_from';'Yoruba peoples'
'Metropolitan Museum of Art';'has_possession_of';'Esu Head (Ela or Irin Ifa)'
'Mr. and Mrs. Klaus G. Perls';'has_possession_of';'Staffs: Couple (Edan Ogboni)'
'Staffs: Couple (Edan Ogboni)';'comes_from';'Yoruba peoples'
'Gold Weight: Chief with Attendant';'comes_from';'Yoruba peoples'
'Metropolitan Museum of Art';'has_possession_of';'Gold Weight: Chief with Attendant'
'Ernst Anspach';'has_possession_of';'Gold Weight: Chief with Attendant'
'Mr. and Mrs. Klaus G. Perls';'obtains_from';'Ernst Anspach'
'Staff: Female Figure (Edan Ogboni)';'comes_from';'Yoruba peoples, Owo group'
'Metropolitan Museum of Art';'has_possession_of';'Staff: Female Figure (Edan Ogboni)'
'Altar to the Hand (Ikegobo)';'comes_from';'Edo peoples'
'Metropolitan Museum of Art';'has_possession_of';'Altar to the Hand (Ikegobo)'
'Mr. and Mrs. Klaus G. Perls';'has_possession_of';'Hand-Held Clapper with Oba'
'Hand-Held Clapper with Oba';'comes_from';'Edo peoples'
'Mr. and Mrs. Klaus G. Perls';'has_possession_of';'Masquerade Element: Human Face'
'Masquerade Element: Human Face';'comes_from';'Yoruba peoples, Ijebu group'
'Metropolitan Museum of Art';'has_possession_of';'Masquerade Element: Human Face'
'Metropolitan Museum of Art';'has_possession_of';'Head of Iyoba'
'Richard Caro';'obtains_from';'A Belgian collection'
'Metropolitan Museum of Art';'obtains_from';'Richard Caro'
'Head of Iyoba';'comes_from';'Edo peoples'
'Klaus G. Perls';'has_possession_of';'Figure: Oba with Sacrificial Animals from the 18th–19th century'
'Figure: Oba with Sacrificial Animals from the 18th–19th century';'comes_from';'Edo peoples'
'Metropolitan Museum of Art';'has_possession_of';'Figure: Oba with Sacrificial Animals from the 18th–19th century'
'Rattle';'comes_from';'Yoruba peoples'
'Metropolitan Museum of Art';'has_possession_of';'Rattle'
'Augustus Lane-Fox Pitt-Rivers';'has_possession_of';'Rattle'
'Rooster';'comes_from';'Court of Benin'
'Metropolitan Museum of Art';'has_possession_of';'Rooster'
'Bracelet';'comes_from';'Yoruba peoples, Ijebu group'
'Metropolitan Museum of Art';'has_possession_of';'Bracelet'
'Mr. and Mrs. Klaus G. Perls';'has_possession_of';'Bracelet'
'Figure: Seated Portuguese Male';'comes_from';'Court of Benin'
'Metropolitan Museum of Art';'has_possession_of';'Figure: Seated Portuguese Male'
'Head of an Oba';'comes_from';'Court of Benin'
'Metropolitan Museum of Art';'has_possession_of';'Head of an Oba'
'Altar Tableau: Queen Mother and Attendants';'comes_from';'Edo peoples'
'Altar Tableau: Queen Mother and Attendants';'has_possession_of';'Metropolitan Museum of Art'
'R. Sturgis Ingersoll';'has_possession_of';'Altar Tableau: Queen Mother and Attendants'
'Bracelet: Equestrian and Standing Figures';'comes_from';'Edo peoples'
'Metropolitan Museum of Art';'has_possession_of';'Bracelet: Equestrian and Standing Figures'
'Sir Jacob Epstein';'has_possession_of';'Bracelet: Equestrian and Standing Figures'
'Hôtel Drouot';'has_possession_of';'Bracelet: Equestrian and Standing Figures'
'Mr. and Mrs. Klaus G. Perls';'has_possession_of';'Figure: Equestrian Chief'
'Figure: Equestrian Chief';'comes_from';'Yoruba peoples, Owo group'
'Mr. and Mrs. Klaus G. Perls';'has_possession_of';'Bracelet: Crocodile Heads'
'Bracelet: Crocodile Heads';'comes_from';'Edo peoples'
'Klaus G. Perls';'has_possession_of';'ivory bracelet'
'Metropolitan Museum of Art';'has_possession_of';'ivory bracelet'
"Christie's, South Kensington, London";'comes_from';'ivory bracelet'
'Yoruba peoples, Owo group';'comes_from';'ivory bracelet'
'Metropolitan Museum of Art';'has_possession_of';'Altar Ring'
'Altar Ring';'comes_from';'Court of Benin'
'Richard L. and Nancy Bloch';'has_possession_of';'Ifa Divination Vessel: Female Caryatid (Agere Ifa)'
'Orufanran Costume Attachment: Crocodile Head';'comes_from';'Yoruba peoples, Owo group'
'Metropolitan Museum of Art';'has_possession_of';'Orufanran Costume Attachment: Crocodile Head'
'Klaus G. Perls';'has_possession_of';'Orufanran Costume Attachment: Ram Head'
'Orufanran Costume Attachment: Ram Head';'comes_from';'Yoruba peoples, Owo group'
'Metropolitan Museum of Art';'has_possession_of';'Orufanran Costume Attachment: Ram Head'
'Klaus G. Perls';'has_possession_of';'Ceremonial Sword (Udamalore)'
'Ceremonial Sword (Udamalore)';'comes_from';'Yoruba artist'
'Metropolitan Museum of Art';'has_possession_of';'Ceremonial Sword (Udamalore)'
'Orufanran Costume Attachment: Leopard Head';'comes_from';'Yoruba peoples, Owo group'
'Orufanran Costume Attachment: Leopard Head';'has_possession_of';'Metropolitan Museum of Art'
'Merton D. Simpson';'sells';'Orufanran Costume Attachment: Leopard Head'
'Merton D. Simpson';'makes_sale_to';'Klaus G. Perls'
'Klaus G. Perls';'has_possession_of';'Orufanran Costume Attachment: Humans and Monkeys'
'Orufanran Costume Attachment: Humans and Monkeys';'comes_from';'Yoruba peoples, Owo group'
'Metropolitan Museum of Art';'has_possession_of';'Orufanran Costume Attachment: Humans and Monkeys'
'Vessel';'comes_from';'Yoruba peoples, Owo group'
'Metropolitan Museum of Art';'has_possession_of';'Vessel'
'H.H. the Prince de Ligne, Belgium, and descendants';'has_possession_of';'Vessel'
'Lidded Vessel';'comes_from';'Yoruba peoples, Owo group'
'Metropolitan Museum of Art';'has_possession_of';'Lidded Vessel'
'Roberta and Lance Entwistle';'sells';'Lidded Vessel'
"Christie's";'obtains_from';'Roberta and Lance Entwistle'
'Lidded Vessel: Fluted Gourd';'comes_from';'Court of Benin'
'Metropolitan Museum of Art';'has_possession_of';'Lidded Vessel: Fluted Gourd'
'Leopard Aquamanile';'comes_from';'Edo artist'
'Metropolitan Museum of Art';'has_possession_of';'Leopard Aquamanile'
"Sotheby's, London";'sells';'Leopard Aquamanile'
'Klaus G. Perls';'buys_from';"Sotheby's, London"
'Mr. and Mrs. Klaus G. Perls';'has_possession_of';'Leopard Aquamanile'
'Hip Ornament: Leopard Head';'comes_from';'Court of Benin'
'Metropolitan Museum of Art';'has_possession_of';'Hip Ornament: Leopard Head'
'Head';'comes_from';'Edo peoples'
'Metropolitan Museum of Art';'has_possession_of';'Head'
'Charles Jones';'has_role';'Previous Owner'
'Damon Brandt';'has_role';'Previous Owner'
'Bracelet: Portuguese Heads and Mudfish';'comes_from';'Edo peoples'
'Metropolitan Museum of Art';'has_possession_of';'Bracelet: Portuguese Heads and Mudfish'
'Mrs. E.C. Gaze and R.H.H. Barneby, Esq.';'has_possession_of';'Bracelet: Portuguese Heads and Mudfish'
'Mr. and Mrs. Klaus G. Perls';'has_possession_of';'Altar Bell: Portuguese Face | Edo peoples  Museum of Art'
'Altar Bell: Portuguese Face | Edo peoples  Museum of Art';'comes_from';'Mr. and Mrs. Klaus G. Perls, New York, until 1991'
'Metropolitan Museum of Art';'has_possession_of';'Benin terracotta head'
'Mr. and Mrs. Morton Lipkin';'has_possession_of';'Benin terracotta head'
'Hip Ornament: Face';'comes_from';'Edo peoples'
'Metropolitan Museum of Art';'has_possession_of';'Hip Ornament: Face'
'Adolph Schwartz';'has_possession_of';'Hip Ornament: Face'
'Male Figure: Court Official';'comes_from';'Court of Benin'
'Court of Benin';'has_possession_of';'Male Figure: Court Official'
'Klaus G. Perls';'has_possession_of';'Plaque: Two Portuguese with Manillas'
'Plaque: Two Portuguese with Manillas';'comes_from';'Edo peoples'
'Metropolitan Museum of Art';'has_possession_of';'Plaque: Two Portuguese with Manillas'
'Mr. and Mrs. Klaus G. Perls';'has_possession_of';'Pectoral: Face'
'Pectoral: Face';'comes_from';'Edo peoples'
'Metropolitan Museum of Art';'has_possession_of';'Pectoral: Face'
'Saltcellar Base';'comes_from';'Sapi-Portuguese'
'Metropolitan Museum of Art';'has_possession_of';'Saltcellar Base'
'Sydney Burney';'has_possession_of';'Saltcellar Base'
'Sotheby Parke-Bernet';'has_possession_of';'Saltcellar Base'
'Spoon';'comes_from';'Edo peoples, Bini-Portuguese'
'Metropolitan Museum of Art';'has_possession_of';'Spoon'
'Dover Museum, Dover, Kent, UK';'has_possession_of';'Spoon'
'Dover Museum, Dover, Kent, UK';'sells';'Spoon'
'James';'buys_from';'Dover Museum, Dover, Kent, UK'
'Doris Wiener Gallery';'has_possession_of';'Door Guardian (Dvarapala)'
'Doris Wiener Gallery';'sells';'Door Guardian (Dvarapala)'
'Metropolitan Museum of Art';'purchases';'Door Guardian (Dvarapala)'
'Door Guardian (Dvarapala)';'comes_from';'Pakistan (ancient region of Gandhara)'
'Robert Hecht';'sells';'Jewelry Element'
'Robert Hecht';'makes_sale_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Jewelry Element'
'Jewelry Element';'comes_from';'first half 11th century'
'Robert E. Hecht, Jr.';'has_possession_of';'Kylix, eye-cup fragments'
'Metropolitan Museum of Art';'purchases';'Kylix, eye-cup fragments'
'Kylix, eye-cup fragments';'comes_from';'Greek, Attic'
'The Bothmer Purchase Fund';'has_possession_of';'Kylix, eye-cup fragments'
'Metropolitan Museum of Art';'has_possession_of';'Head of an Angel (?)'
'Metropolitan Museum of Art';'purchases';'Head of an Angel (?)'
'Metropolitan Museum of Art';'obtains_from';'Michel David-Weill'
'Head of an Angel (?)';'comes_from';'Notre-Dame Cathedral, Paris'
'Joseph Brummer';'has_possession_of';'Head of an Angel (?)'
'Harry G. Sperling Fund';'is_the_owner_of';'Cardinal Paolo Sfondrato Kneeling Before Saint Cecilia'
'Metropolitan Museum of Art';'has_possession_of';'Cardinal Paolo Sfondrato Kneeling Before Saint Cecilia'
'Edward Vernon Utterson';'has_possession_of';'Cardinal Paolo Sfondrato Kneeling Before Saint Cecilia'
'Alcide Donn';'has_possession_of';'Cardinal Paolo Sfondrato Kneeling Before Saint Cecilia'
'Francesco Vanni';'has_role';'Artist'
'John J. Klejman';'has_possession_of';'Figure: Seated Female'
'John J. Klejman';'sells';'Figure: Seated Female'
'Ernst Anspach';'donates_to';'Metropolitan Museum of Art'
'Figure: Seated Female';'comes_from';'Kongo peoples'
'Plaque: Warrior and Attendants';'comes_from';'Edo artist'
'Metropolitan Museum of Art';'has_possession_of';'Plaque: Warrior and Attendants'
"Sotheby's, London";'sells';'Plaque: Warrior and Attendants'
'Paul Wallraf';'has_possession_of';'Plaque: Warrior and Attendants'
'Brummer Gallery';'has_possession_of';'Chalice with the Arms of Housteyn'
'Mrs. Ruth Blumka';'donates_to';'Metropolitan Museum of Art'
'A.R. Nesle';'has_possession_of';'Chalice with the Arms of Housteyn'
'A.R. Nesle';'sells';'Brummer Gallery'
'Chalice with the Arms of Housteyn';'comes_from';'South Netherlandish'
'Spink & Son Ltd.';'donates_to';'Metropolitan Museum of Art'
'Standing Bodhisattva Maitreya, the Buddha of the Future';'comes_from';'Thailand (Buriram Province, Prakhon Chai)'
'Metropolitan Museum of Art';'has_possession_of';'Standing Bodhisattva Maitreya, the Buddha of the Future'
'Norbert Schimmel Trust';'donates_to';'Metropolitan Museum of Art'
'Joseph Brummer';'purchases';'Mace head with reclining bulls'
'Joseph Brummer';'buys_from';'Elias S.'
'Mace head with reclining bulls';'comes_from';'Jemdet Nasr–Early Dynastic I'
'Spink & Son Ltd.';'works_with';'Douglas A. J. Latchford'
'Plaque with a Figure Standing in a Doorway';'comes_from';'Pakistan (ancient region of Gandhara)'
'Metropolitan Museum of Art';'has_possession_of';'Plaque with a Figure Standing in a Doorway'
'Bodhisattva';'comes_from';'Nepal (Kathmandu Valley)'
'Metropolitan Museum of Art';'has_possession_of';'Bodhisattva'
