Dr. Josú Sáenz;obtains_from;villagers
Dr. Josú Sáenz;sells;Maya mosaic mask
Dr. Josú Sáenz;works_with;dealer
dealer;sells;Maya mosaic mask
dealer;makes_sale_to;Alphonse Jax
Alphonse Jax;sells;Maya mosaic mask
Alphonse Jax;makes_sale_to;Mildred Barns Bliss
Dr. Gordon Ekholm;has_role;curator of Mexican archaeology at the American Museum of Natural History
Dr. Gordon Ekholm;works_for;American Museum of Natural History
Grolier Codex;comes_from;villagers
Grolier Codex;has_possession_of;Grolier Club
Grolier Codex;has_possession_of;anonymous owner
Dr. Josú Sáenz;has_possession_of;Maya mosaic mask
Cara Sucia;has_possession_of;stone jaguar head
Dr. Alberto Luna;has_possession_of;figurine accredited to Cara Sucia
National Commission for Culture and Art (CONCULTURA);works_with;National Foundation for Archaeology (FUNDAR)
Government of El Salvador;works_with;Paul Amaroli
Government of El Salvador;works_with;Stanley Boggs
Government of El Salvador;works_with;United States
United States;legal_status_change;Salvadoran Cultural Property
United States;legal_status_change;Memorandum of Understanding with El Salvador
Cara Sucia;comes_from;Cotzumalhuapa Culture
Cara Sucia;has_possession_of;figurines and whistles
Cara Sucia;has_possession_of;stone sculpturesdecorated ceramic vesselsfigurinesand objects made of jade
Government of El Salvador;legal_status_change;Salvadoran antiquities law
Government of El Salvador;legal_status_change;Salvadoran customs records
Sotheby New York;has_possession_of;Two pre-Columbian antiquities
Val Edwards;has_role;looter and pre-Columbian antiquities smuggler
Val Edwards;works_with;Latin American entrepreneur
Val Edwards;has_possession_of;pre-Columbian antiquities
Val Edwards;sells;pre-Columbian antiquities
Sotheby New York;has_possession_of;Maya priest figure and large brazier
Sotheby New York;sells;items looted from the Peruvian site of Sipán
Stacy Goodman;has_role;head of Sotheby pre-Columbian department
Leonardo Patterson;has_role;Costa Rican antiquities dealer
Leonardo Patterson;legal_status_change;implicated in an Australian tax loophole scheme
Leonardo Patterson;legal_status_change;convicted of federal wire fraud
Leonardo Patterson;legal_status_change;sentenced to a year in prison
Leonardo Patterson;has_possession_of;large brazier
Leonardo Patterson;works_with;Val Edwards
HMS Duke of Albany;has_possession_of;Royal Navy
Duncan Keates;obtains_from;HMS Duke of Albany
Duncan Keates;legal_status_change;Ministry of Defence Police
Duncan Keates;legal_status_change;Kirkwall Sheriff Court
Ministry of Defence Police;works_with;Maritime and Coastguard Agency
Ministry of Defence Police;works_with;Navy Command
Ministry of Defence Police;works_with;Defence Policy and Business
Defence Policy and Business;works_with;diving community
Jiri Frel;works_for;Getty Museum
Jiri Frel;works_with;Bruce McNall
Bruce McNall;works_with;Robert Hecht
Bruce McNall;works_for;Summa Antiquities
Robert Hecht;works_for;Summa Antiquities
Sy Weintraub;buys_from;Summa Antiquities
Sy Weintraub;donates_to;Getty Museum
Jiri Frel;works_with;Jerome Eisenberg
Jiri Frel;works_with;Gianfranco Becchina
Jiri Frel;legal_status_change;Internal Revenue Service
Jiri Frel;has_role;Curator of Antiquities
Thomas Hoving;has_role;Director of the Metropolitan Museum of Art
Getty Museum;has_possession_of;fourth-century BC fresco fragments
Getty Museum;has_possession_of;Roman head
Getty Museum;has_possession_of;two sarcophagus fragments
Getty Museum;has_possession_of;Getty Kouros
Sezai Portakalci;works_for;Incirlik Air Base
Sezai Portakalci;obtains_from;Looted Sites in Turkey
Sezai Portakalci;sells;Collectors and Dealers
Joel Malter;is_the_owner_of;Malter Galleries
Sezai Portakalci;makes_sale_to;Joel Malter
Joel Malter;legal_status_change;US Customs
Sezai Portakalci;legal_status_change;Turkish Police
US Customs;works_with;Turkish Police
Sidney S. Lyon;has_role;amateur archaeologist
Slack Farm;comes_from;Caborn-Welborn culture
Slack family;is_the_owner_of;Slack Farm
Slack Farm tenants;works_for;Slack Farm
Slack Farm tenants;obtains_from;another owner
ten pot hunters;purchases;permission to loot Slack Farm
ten pot hunters;has_possession_of;650 graves
Sergeant Miles Hart;has_role;Kentucky State Police
Sergeant Miles Hart;legal_status_change;ten looters
Union County grand jury;legal_status_change;ten looters
Indiana of Kentucky;legal_status_change;grave desecration
Native American Groups;works_with;State Medical Examiner
Native American Groups;has_possession_of;human remains from Slack Farm
Hungary;has_possession_of;Sevso Treasure
József Sümegh;has_possession_of;Sevso Treasure
József Sümegh;sells;two pieces of silver
József Sümegh;buys_from;antiquities dealer in Budapest
Marquess of Northampton;has_possession_of;Sevso Treasure
Hungary;purchases;seven pieces of the Sevso Treasure
Hungary;buys_from;a trust in the name of Peter Wilson two sons
Peter Wilson;has_immediate_family_member;two sons
Peter Wilson;works_for;Sotheby‚
Peter Wilson;works_with;Marquess of Northampton
József Sümegh;has_immediate_family_member;Ishtevan
Hungarian National Museum;has_possession_of;Roman-period silver folding stand
unknown people;works_with;József Sümegh
unknown people;legal_status_change;József Sümegh
New York State Supreme Court;legal_status_change;Hungary
Marion True;works_for;J. Paul Getty Museum
Jiri Frel;works_for;J. Paul Getty Museum
Marion True;has_role;Curator of Antiquities
J. Paul Getty Museum;has_possession_of;Getty Aphrodite
J. Paul Getty Museum;has_possession_of;Fourth-century BC gold funerary wreath
J. Paul Getty Museum;has_possession_of;Barbara and Lawrence Fleischman Collection
Marion True;works_with;Robert Hecht
Marion True;works_with;Giacomo Medici
Marion True;works_with;Robin Symes
Marion True;has_role;Curator of Greek and Roman Art
Metropolitan Museum of Art;works_with;Marion True
Marion True;has_possession_of;House on the Greek island of Paros
Christos Michaelides;works_with;Robin Symes
Robin Symes;works_with;Barbara and Lawrence Fleischman
Marion True;legal_status_change;Italian investigators
Marion True;legal_status_change;Greek prosecutors
J. Paul Getty Museum;has_possession_of;Fifth-century BC bronze tripod and candelabrum
Guglielmo Collection;comes_from;Fifth-century BC bronze tripod and candelabrum
Marion True;works_with;Barbara and Lawrence Fleischman
The Getty Museum;donates_to;Museo Archeologico in AidoneSicily
The Getty Museum;has_possession_of;Terracotta Head of Hades
The Getty Museum;purchases;Terracotta Head of Hades
The Getty Museum;buys_from;Maurice Tempelsman
Maurice Tempelsman;buys_from;Robin Symes
Terracotta Head of Hades;comes_from;Morgantina sanctuary of Demeter and Persephone
Terracotta Head of Hades;legal_status_change;The Getty Museum
José Luis Várez Fisa;donates_to;National Archaeological Museum of Spain
National Archaeological Museum of Spain;purchases;181 ancient artefacts
National Archaeological Museum of Spain;buys_from;José Luis Várez Fisa
José Luis Várez Fisa;purchases;artefacts
José Luis Várez Fisa;buys_from;Sotheby New York
José Luis Várez Fisa;buys_from;Jerome Eisenberg
Jerome Eisenberg;purchases;artefacts
Jerome Eisenberg;buys_from;auction in London
Giacomo Medici;works_with;Gianfranco Becchina
Giacomo Medici;has_possession_of;photographs
Gianfranco Becchina;has_possession_of;photographs
United States Customs;has_possession_of;Coroma material
Steven Berger;has_possession_of;hundreds of textiles
Steven Berger;sells;Coroma textile
Royal Canadian Mounted Police;has_possession_of;Coroma textile
Roger Cornelius Russell Yorke;has_possession_of;over 6,000 Bolivian and Peruvian objects
Roger Cornelius Russell Yorke;works_with;Steven Berger
Roger Cornelius Russell Yorke;is_the_owner_of;a store in La Paz
US State Department Cultural Property Advisory Committee;has_role;recommended emergency import restrictions
US State Department;legal_status_change;emergency import restrictions on Coroma Textiles
Bolivian government;legal_status_change;Supreme Decree No 21951
Michael Ratner;works_for;community of Coroma
Bill Verick;works_for;community of Coroma
Jordan Eth;works_for;community of Coroma
Steven Berger;purchases;textiles in La Paz
Roger Yorke;legal_status_change;charged with illegally importing Bolivian cultural property
Roger Yorke;legal_status_change;convicted under Canada Cultural Property Export and Import Act
Canadian government;donates_to;Bolivia
community of Coroma;has_possession_of;42 pieces of textiles
Coroma community members;has_role;punished for involvement in textile thefts
Coroma community members;has_role;highlight difficult issues surrounding poverty and cultural property theft
Nok terracottas;has_possession_of;museum in Jos
museum in Jos;works_for;Department of Mines
director of the mine;buys_from;tin miners
director of the mine;makes_sale_to;Bernard Fagg
Bortolot Daybreak Corporation;has_role;provider of TL dates
European dealers;works_with;local traders
local traders;works_with;digger
Mourtala Diop;legal_status_change;arrested in New York
Mourtala Diop;sells;fake Nok terracottas
Bortolot Daybreak Corporation;has_role;provider of TL certificates
Nigerian traders;sells;Nok terracottas
Nigerian traders;works_with;Chelsea area of Manhattan
Nigerian traders;works_with;uptown galleries
Nigerian traders;works_with;Internet
National Commission for Museums and Monuments (NCMM);has_role;manager of Nigeria cultural heritage
National Commission for Museums and Monuments (NCMM);legal_status_change;established by Decree no 77
French customs officials;has_possession_of;Nigerian artefacts
US Homeland Security;has_possession_of;ten Nok terracottas
US Homeland Security;works_with;Customs and Border Protection (CBP)
US Homeland Security;works_with;French agents
US Homeland Security;donates_to;Nigeria
Nigerian National Museum in Lagos;has_possession_of;Nok terracottas
Nigerian National Museum in Lagos;works_with;director-general
Two metal-detector users;works_with;Museum in Guildford
Dealers;buys_from;Looters
Police;has_possession_of;A small amount of material
Surrey Archaeological Society;has_possession_of;Material sent anonymously
Surrey Archaeological Society;works_with;Local voluntary group
Surrey Archaeological Society;has_role;Catalyst for Treasure Act 1996
Looters;sells;Artefacts
Dealers;has_possession_of;Artefacts
Artefacts;comes_from;Wanborough Temple site
Artefacts;has_possession_of;Antiquities market
Artefacts;comes_from;Iron Age and Roman periods
Artefacts;comes_from;Temple function
Artefacts;has_possession_of;US market
Artefacts;has_possession_of;BelgiumSwitzerlandGermanyNew Zealand
Looters;works_with;Dealers
Looters;works_with;Treasure hunters
Looters;works_with;Nighthawkers
Surrey Archaeological Society;works_with;Rescue excavations and surveys
Surrey Archaeological Society;works_with;Police
Surrey Archaeological Society;works_with;Court
Court;legal_status_change;Looters
Court;legal_status_change;Dealers
The State Hermitage Museum;has_possession_of;three million objects
The State Hermitage Museum;has_possession_of;jewel-encrusted icons and other religious objectsjewellery and clockssalt cellarssugar bowlsa caviar scoopand a coffee pot
Russian Empress Catherine the Great;is_the_owner_of;The State Hermitage Museum
Colonel Vladimir Mefty;has_role;Chief of CIDMilitiaRussian Federation
Colonel Vladimir Mefty;works_for;MilitiaRussian Federation
Larisa Zavadskaya;has_role;curator
The State Hermitage Museum;legal_status_change;thefts of 226 objects
The State Hermitage Museum;works_with;World Wide Club of Petersburgers
World Wide Club of Petersburgers;works_with;The State Hermitage Museum
The State Hermitage Museum;has_possession_of;Winter Palace
The State Hermitage Museum;has_possession_of;landmark buildings in central St Petersburg
William Niven;sells;Xochipala-style figurine
William Niven;makes_sale_to;Harvard's Peabody Museum
Harvard's Peabody Museum;has_possession_of;Xochipala-style figurine
Princeton University Art Museum;has_possession_of;Xochipala-style figurines
Gillett G. Griffin;donates_to;Princeton University Art Museum
Peter G. Wray;donates_to;Princeton University Art Museum
Peter David Joralemon;donates_to;Princeton University Art Museum
Forrest D. Colburn;donates_to;Princeton University Art Museum
